#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
     3900  4.77638128e-01  1.22308775e-04   4.31154868e-04   3.02433128e-02   3.02433128e-02   4.18547957e-02   3.83843894e-02   2.12957110e-03   9.34783372e-02   9.34783372e-02   1.23241225e-01   2.51666837e-01   1.17250431e-17   1.25007298e-01   1.78696429e+02  -1.06717404e+01   7.14285685e+01
     4000  4.89868691e-01  1.22303493e-04   5.01650532e-04   3.10002903e-02   3.10002903e-02   4.29384619e-02   4.70057151e-02   2.11135717e-03   9.65342984e-02   9.65342984e-02   1.26599432e-01   2.28268525e-01   1.53796055e-17   1.25006743e-01   1.78696429e+02  -1.06717404e+01   7.14285687e+01
     4100  5.02099034e-01  1.22304395e-04   5.50902654e-04   3.17545232e-02   3.17545232e-02   4.40151145e-02   5.52434853e-02   2.19648643e-03   9.92885893e-02   9.92885893e-02   1.29981454e-01   1.98150354e-01   9.69465168e-18   1.25006007e-01   1.78696429e+02  -1.06717404e+01   7.14285690e+01
     4200  5.14329755e-01  1.22310761e-04   5.70560368e-04   3.25122553e-02   3.25122553e-02   4.50846859e-02   5.91527776e-02   2.29442748e-03   1.01653288e-01   1.01653288e-01   1.33416120e-01   2.14179595e-01   1.14753555e-17   1.25005456e-01   1.78696429e+02  -1.06717404e+01   7.14285692e+01
     4300  5.26561310e-01  1.22320566e-04   5.57227379e-04   3.32773250e-02   3.32773250e-02   4.61486089e-02   5.70248608e-02   2.22804528e-03   1.03651333e-01   1.03651333e-01   1.36879445e-01   1.89026470e-01   1.25213114e-17   1.25005352e-01   1.78696429e+02  -1.06717404e+01   7.14285693e+01
     4400  5.38793878e-01  1.22330340e-04   5.13584378e-04   3.40487290e-02   3.40487290e-02   4.72079339e-02   4.93099936e-02   2.02243875e-03   1.05401168e-01   1.05401168e-01   1.40305417e-01   1.44614219e-01   2.23191163e-17   1.25005655e-01   1.78696429e+02  -1.06717404e+01   7.14285692e+01
     4500  5.51027248e-01  1.22336002e-04   4.49064992e-04   3.48217556e-02   3.48217556e-02   4.82619523e-02   3.92762567e-02   1.74002096e-03   1.07067709e-01   1.07067709e-01   1.43621331e-01   1.20630063e-01   6.70921910e-18   1.25006030e-01   1.78696429e+02  -1.06717404e+01   7.14285690e+01
     4600  5.63260719e-01  1.22331258e-04   3.79471093e-04   3.55917714e-02   3.55917714e-02   4.93081068e-02   3.40352997e-02   1.52231916e-03   1.08791781e-01   1.08791781e-01   1.46788875e-01   1.27846674e-01  -1.66655783e-17   1.25006082e-01   1.78696429e+02  -1.06717404e+01   7.14285690e+01
     4700  5.75493131e-01  1.22315474e-04   3.23520757e-04   3.63580541e-02   3.63580541e-02   5.03431236e-02   3.87949259e-02   1.64556862e-03   1.10626500e-01   1.10626500e-01   1.49828564e-01   1.42146061e-01  -1.13695798e-17   1.25005674e-01   1.78696429e+02  -1.06717404e+01   7.14285692e+01
     4800  5.87723507e-01  1.22291170e-04   2.94093854e-04   3.71248063e-02   3.71248063e-02   5.13646523e-02   4.78402203e-02   1.77567149e-03   1.12512825e-01   1.12512825e-01   1.52813867e-01   1.46953798e-01   1.44768511e-17   1.25005044e-01   1.78696429e+02  -1.06717404e+01   7.14285694e+01
     4900  5.99951203e-01  1.22262827e-04   2.90358966e-04   3.78981557e-02   3.78981557e-02   5.23725122e-02   5.44352326e-02   1.85561683e-03   1.14309817e-01   1.14309817e-01   1.55837835e-01   1.57189368e-01  -3.81996813e-17   1.25004598e-01   1.78696429e+02  -1.06717404e+01   7.14285696e+01
     5000  6.12176100e-01  1.22236118e-04   3.03978542e-04   3.86815236e-02   3.86815236e-02   5.33691850e-02   5.64991466e-02   1.85437135e-03   1.15866197e-01   1.15866197e-01   1.58970693e-01   1.46455529e-01   2.30670862e-17   1.25004564e-01   1.78696429e+02  -1.06717404e+01   7.14285696e+01
     5100  6.24398629e-01  1.22216102e-04   3.29224286e-04   3.94735169e-02   3.94735169e-02   5.43595466e-02   5.49920407e-02   1.76805342e-03   1.17096796e-01   1.17096796e-01   1.62231207e-01   1.56333892e-01   8.44894576e-19   1.25004891e-01   1.78696429e+02  -1.06717404e+01   7.14285695e+01
     5200  6.36619626e-01  1.22205589e-04   3.61820427e-04   4.02697512e-02   4.02697512e-02   5.53499859e-02   5.15329769e-02   1.71737192e-03   1.18025979e-01   1.18025979e-01   1.65586244e-01   2.35704504e-01   1.33170334e-17   1.25005466e-01   1.78696429e+02  -1.06717404e+01   7.14285692e+01
     5300  6.48840050e-01  1.22204243e-04   3.96090943e-04   4.10656107e-02   4.10656107e-02   5.63470706e-02   4.66318516e-02   1.80465212e-03   1.18780513e-01   1.18780513e-01   1.68976928e-01   2.55688586e-01   1.71437545e-17   1.25006294e-01   1.78696429e+02  -1.06717404e+01   7.14285689e+01
     5400  6.61060672e-01  1.22208722e-04   4.28336276e-04   4.18567777e-02   4.18567777e-02   5.73560722e-02   4.03912620e-02   1.85848125e-03   1.19542138e-01   1.19542138e-01   1.72355691e-01   2.06866409e-01  -3.07983305e-17   1.25007357e-01   1.78696429e+02  -1.06717404e+01   7.14285685e+01
     5500  6.73281822e-01  1.22213875e-04   4.60160215e-04   4.26384382e-02   4.26384382e-02   5.83798904e-02   3.53002045e-02   1.94455618e-03   1.20487438e-01   1.20487438e-01   1.75713731e-01   1.38977404e-01  -4.35184631e-17   1.25008373e-01   1.78696429e+02  -1.06717404e+01   7.14285681e+01
     5600  6.85503299e-01  1.22214570e-04   4.95535952e-04   4.34061404e-02   4.34061404e-02   5.94188466e-02   3.65014586e-02   2.04238698e-03   1.21741015e-01   1.21741015e-01   1.79084783e-01   1.42031341e-01  -5.61127685e-17   1.25008891e-01   1.78696429e+02  -1.06717404e+01   7.14285679e+01
     5700  6.97724471e-01  1.22207538e-04   5.34743393e-04   4.41583306e-02   4.41583306e-02   6.04712742e-02   4.43342527e-02   2.30897067e-03   1.23353213e-01   1.23353213e-01   1.82524295e-01   1.54083654e-01  -8.95722656e-18   1.25008721e-01   1.78696429e+02  -1.06717404e+01   7.14285679e+01
     5800  7.09944525e-01  1.22192501e-04   5.73085771e-04   4.48975300e-02   4.48975300e-02   6.15342597e-02   5.32915541e-02   2.78016661e-03   1.25299093e-01   1.25299093e-01   1.86075636e-01   2.11001571e-01  -3.15380913e-17   1.25008191e-01   1.78696429e+02  -1.06717404e+01   7.14285682e+01
     5900  7.22162775e-01  1.22172154e-04   6.05235248e-04   4.56288182e-02   4.56288182e-02   6.26039063e-02   5.93755731e-02   3.20027745e-03   1.27490403e-01   1.27490403e-01   1.89740656e-01   2.72352604e-01   1.71682042e-17   1.25007904e-01   1.78696429e+02  -1.06717404e+01   7.14285683e+01
     6000  7.34378909e-01  1.22151019e-04   6.28656756e-04   4.63578680e-02   4.63578680e-02   6.36751066e-02   6.15932653e-02   3.48221673e-03   1.29795324e-01   1.29795324e-01   1.93468992e-01   3.16489054e-01   2.86686105e-17   1.25008284e-01   1.78696429e+02  -1.06717404e+01   7.14285681e+01
     6100  7.46593088e-01  1.22133673e-04   6.42655172e-04   4.70905119e-02   4.70905119e-02   6.47413937e-02   6.04283829e-02   3.56934145e-03   1.32064198e-01   1.32064198e-01   1.97171524e-01   3.18875475e-01   6.64379222e-18   1.25009379e-01   1.78696429e+02  -1.06717404e+01   7.14285677e+01
     6200  7.58805858e-01  1.22123095e-04   6.45905022e-04   4.78325517e-02   4.78325517e-02   6.57954381e-02   5.63681259e-02   3.44476988e-03   1.34158171e-01   1.34158171e-01   2.00752963e-01   2.78439763e-01   6.00565614e-17   1.25010961e-01   1.78696429e+02  -1.06717404e+01   7.14285670e+01
     6300  7.71017944e-01  1.22119767e-04   6.36361561e-04   4.85880164e-02   4.85880164e-02   6.68302802e-02   4.98162531e-02   3.13569544e-03   1.35973912e-01   1.35973912e-01   2.04150432e-01   2.01996893e-01  -2.86074179e-17   1.25012659e-01   1.78696429e+02  -1.06717404e+01   7.14285664e+01
     6400  7.83229990e-01  1.22121764e-04   6.13398526e-04   4.93572209e-02   4.93572209e-02   6.78409422e-02   4.25144646e-02   2.71367403e-03   1.37457151e-01   1.37457151e-01   2.07361722e-01   1.57282341e-01  -1.83259732e-17   1.25014029e-01   1.78696429e+02  -1.06717404e+01   7.14285658e+01
     6500  7.95442362e-01  1.22125626e-04   5.79091758e-04   5.01372679e-02   5.01372679e-02   6.88259011e-02   3.87642017e-02   2.43408147e-03   1.38603005e-01   1.38603005e-01   2.10449929e-01   1.70431174e-01   1.32071053e-17   1.25014714e-01   1.78696429e+02  -1.06717404e+01   7.14285655e+01
     6600  8.07655052e-01  1.22127529e-04   5.37368726e-04   5.09245071e-02   5.09245071e-02   6.97879255e-02   4.23166913e-02   2.31594664e-03   1.39448126e-01   1.39448126e-01   2.13520232e-01   1.88938486e-01  -4.63544656e-18   1.25014663e-01   1.78696429e+02  -1.06717404e+01   7.14285656e+01
     6700  8.19867695e-01  1.22124307e-04   4.93034582e-04   5.17158405e-02   5.17158405e-02   7.07338685e-02   5.09390620e-02   2.17898045e-03   1.40061941e-01   1.40061941e-01   2.16677080e-01   2.37066977e-01   3.70304695e-17   1.25014149e-01   1.78696429e+02  -1.06717404e+01   7.14285658e+01
     6800  8.32079672e-01  1.22114084e-04   4.52704180e-04   5.25079764e-02   5.25079764e-02   7.16732474e-02   6.00648581e-02   2.03845218e-03   1.40539164e-01   1.40539164e-01   2.19980430e-01   2.46618922e-01  -1.19698407e-17   1.25013518e-01   1.78696429e+02  -1.06717404e+01   7.14285660e+01
     6900  8.44290252e-01  1.22096527e-04   4.25854424e-04   5.32971894e-02   5.32971894e-02   7.26158838e-02   6.68931479e-02   2.25145032e-03   1.40988413e-01   1.40988413e-01   2.23421868e-01   2.13378102e-01   2.94814882e-17   1.25012980e-01   1.78696429e+02  -1.06717404e+01   7.14285662e+01
     7000  8.56498750e-01  1.22072830e-04   4.21579227e-04   5.40810911e-02   5.40810911e-02   7.35693651e-02   6.98762649e-02   2.61544607e-03   1.41510727e-01   1.41510727e-01   2.26932665e-01   1.92644638e-01  -2.77770566e-17   1.25012679e-01   1.78696429e+02  -1.06717404e+01   7.14285664e+01
     7100  8.68704671e-01  1.22045519e-04   4.42071338e-04   5.48600115e-02   5.48600115e-02   7.45373022e-02   6.78289755e-02   2.93645617e-03   1.42170563e-01   1.42170563e-01   2.30419913e-01   1.85773332e-01   1.61486650e-17   1.25012800e-01   1.78696429e+02  -1.06717404e+01   7.14285663e+01
     7200  8.80907822e-01  1.22018073e-04   4.82101568e-04   5.56353298e-02   5.56353298e-02   7.55190924e-02   6.02129977e-02   3.13152369e-03   1.42973613e-01   1.42973613e-01   2.33812359e-01   1.55610306e-01   1.47033729e-17   1.25013426e-01   1.78696429e+02  -1.06717404e+01   7.14285661e+01
