#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     5200  6.31956161e+00  1.20753224e-03   1.00965136e-03   1.81930821e-01   1.81930821e-01   1.92868695e-01   1.12892707e-03   4.20105588e-03   5.43899091e-01   5.43899091e-01   8.54284683e-01   3.81648643e-03   6.85516251e-15   1.25051835e-01   1.78536441e+02  -1.06638059e+01   7.14143219e+01
     5300  6.44029910e+00  1.20687089e-03   1.09300838e-03   1.85524238e-01   1.85524238e-01   1.91404147e-01   2.42812933e-03   4.80591117e-03   5.71389037e-01   5.71389037e-01   8.68398666e-01   7.83521188e-03   7.21804435e-15   1.25086274e-01   1.78536441e+02  -1.06638069e+01   7.14143081e+01
     5400  6.56096900e+00  1.20555587e-03   1.09693882e-03   1.86713017e-01   1.86713017e-01   1.94330925e-01   2.48804079e-03   5.01423257e-03   5.82855499e-01   5.82855499e-01   9.15263859e-01   7.86968031e-03   7.83403035e-15   1.25086725e-01   1.78536441e+02  -1.06638070e+01   7.14143079e+01
     5500  6.68151451e+00  1.20494161e-03   1.02742825e-03   1.90165568e-01   1.90165568e-01   1.92872144e-01   1.17658541e-03   4.51635194e-03   6.74263336e-01   6.74263336e-01   9.39328875e-01   4.50630546e-03   8.44089282e-15   1.25050421e-01   1.78536441e+02  -1.06638061e+01   7.14143224e+01
     5600  6.80199485e+00  1.20438746e-03   1.19280420e-03   1.91423468e-01   1.91423468e-01   1.94933375e-01   3.21709797e-03   5.55618253e-03   7.86466947e-01   7.86466947e-01   9.72402044e-01   1.00822981e-02   1.01981861e-14   1.25078872e-01   1.78536441e+02  -1.06638073e+01   7.14143111e+01
     5700  6.92226777e+00  1.20017345e-03   1.01439373e-03   1.94540876e-01   1.94540876e-01   1.93740079e-01   1.56242324e-03   4.60268503e-03   9.02757689e-01   9.02757689e-01   9.89622824e-01   5.52256896e-03   8.60325594e-15   1.25066524e-01   1.78536441e+02  -1.06638064e+01   7.14143160e+01
     5800  7.04205480e+00  1.19613077e-03   1.03092237e-03   1.96074713e-01   1.96074713e-01   1.94962214e-01   2.04807347e-03   4.78614662e-03   1.01363432e+00   1.01363432e+00   9.93806563e-01   7.00091049e-03   8.99155253e-15   1.25076590e-01   1.78536441e+02  -1.06638067e+01   7.14143120e+01
     5900  7.16146408e+00  1.18988467e-03   1.12646478e-03   1.98367538e-01   1.98367538e-01   1.94263078e-01   3.00096522e-03   4.70955102e-03   1.11240301e+00   1.11240301e+00   1.04644368e+00   8.43968722e-03   8.61313068e-15   1.25075731e-01   1.78536441e+02  -1.06638070e+01   7.14143123e+01
     6000  7.27982085e+00  1.17767806e-03   9.91642732e-04   2.00176065e-01   2.00176065e-01   1.94526814e-01   1.58070412e-03   4.33338752e-03   1.18862001e+00   1.18862001e+00   1.28157985e+00   6.60705248e-03   7.44326858e-15   1.25052602e-01   1.78536441e+02  -1.06638061e+01   7.14143216e+01
     6100  7.39713540e+00  1.16929860e-03   1.07364909e-03   2.01908993e-01   2.01908993e-01   1.94353774e-01   2.53848668e-03   4.36883629e-03   1.22709883e+00   1.22709883e+00   1.49940993e+00   7.13193432e-03   7.38120183e-15   1.25080327e-01   1.78536441e+02  -1.06638069e+01   7.14143105e+01
     6200  7.51372813e+00  1.16271427e-03   1.12345996e-03   2.03775377e-01   2.03775377e-01   1.93485849e-01   2.67856320e-03   4.66845200e-03   1.22906695e+00   1.22906695e+00   1.68444047e+00   9.22810604e-03   7.41081204e-15   1.25083336e-01   1.78536441e+02  -1.06638071e+01   7.14143093e+01
     6300  7.62982042e+00  1.16003909e-03   9.88636446e-04   2.05200987e-01   2.05200987e-01   1.93470864e-01   1.19317996e-03   4.94550732e-03   1.18588431e+00   1.18588431e+00   1.81871893e+00   5.20925117e-03   7.19095237e-15   1.25050437e-01   1.78536441e+02  -1.06638060e+01   7.14143224e+01
     6400  7.74585384e+00  1.16152679e-03   1.20815988e-03   2.06880802e-01   2.06880802e-01   1.91773478e-01   3.22887276e-03   4.70859244e-03   1.10518480e+00   1.10518480e+00   1.88944250e+00   1.04872561e-02   8.55522502e-15   1.25078574e-01   1.78536441e+02  -1.06638072e+01   7.14143112e+01
     6500  7.86219517e+00  1.16582383e-03   1.02278942e-03   2.07857474e-01   2.07857474e-01   1.91927356e-01   1.79785663e-03   4.46068587e-03   9.98647996e-01   9.98647996e-01   1.89756732e+00   6.10072555e-03   8.07567457e-15   1.25076361e-01   1.78536441e+02  -1.06638064e+01   7.14143121e+01
     6600  7.97906170e+00  1.17145495e-03   1.06017627e-03   2.09382471e-01   2.09382471e-01   1.89917304e-01   1.88932996e-03   5.17702287e-03   8.88255116e-01   8.88255116e-01   1.85163551e+00   8.53504053e-03   7.40888535e-15   1.25070765e-01   1.78536441e+02  -1.06638063e+01   7.14143143e+01
     6700  8.09632373e+00  1.17376286e-03   1.19825643e-03   2.09655999e-01   2.09655999e-01   1.90341052e-01   3.13770514e-03   5.59567743e-03   8.81261585e-01   8.81261585e-01   1.75752034e+00   9.29849954e-03   5.33718374e-15   1.25077653e-01   1.78536441e+02  -1.06638070e+01   7.14143115e+01
     6800  8.21389061e+00  1.17709184e-03   1.06797230e-03   2.11181068e-01   2.11181068e-01   1.87969658e-01   1.64797135e-03   8.69649436e-03   8.79087144e-01   8.79087144e-01   1.64015831e+00   7.62333759e-03   6.09704599e-15   1.25061588e-01   1.78536441e+02  -1.06638060e+01   7.14143180e+01
     6900  8.33178768e+00  1.18061631e-03   1.12592499e-03   2.11178875e-01   2.11178875e-01   1.88761765e-01   2.28749681e-03   9.20364942e-03   8.79399249e-01   8.79399249e-01   1.50477186e+00   7.46414217e-03   7.09907260e-15   1.25083186e-01   1.78536441e+02  -1.06638066e+01   7.14143093e+01
     7000  8.44997421e+00  1.18144172e-03   1.19010930e-03   2.12447788e-01   2.12447788e-01   1.86061125e-01   2.85676058e-03   1.04014913e-02   8.72209071e-01   8.72209071e-01   1.45141624e+00   9.26778563e-03   6.08889164e-15   1.25083395e-01   1.78536441e+02  -1.06638068e+01   7.14143092e+01
     7100  8.56797645e+00  1.17904550e-03   1.09431815e-03   2.12228422e-01   2.12228422e-01   1.87199960e-01   1.38497284e-03   1.23438511e-02   8.63880690e-01   8.63880690e-01   1.48239858e+00   5.08667658e-03   6.66055265e-15   1.25053850e-01   1.78536441e+02  -1.06638057e+01   7.14143211e+01
     7200  8.68582936e+00  1.17828077e-03   1.21642714e-03   2.13153176e-01   2.13153176e-01   1.84669677e-01   2.96274750e-03   1.19430965e-02   8.39501311e-01   8.39501311e-01   1.50174221e+00   9.02970214e-03   4.80741430e-15   1.25083399e-01   1.78536441e+02  -1.06638067e+01   7.14143092e+01
     7300  8.80357647e+00  1.17685459e-03   1.15951721e-03   2.12666161e-01   2.12666161e-01   1.86009451e-01   2.17022045e-03   1.31544086e-02   8.15141282e-01   8.15141282e-01   1.51860028e+00   7.40931042e-03   5.82299572e-15   1.25082726e-01   1.78536441e+02  -1.06638064e+01   7.14143095e+01
     7400  8.92120627e+00  1.17534347e-03   1.11532440e-03   2.13411311e-01   2.13411311e-01   1.83817122e-01   1.59105620e-03   1.37561571e-02   9.23581198e-01   9.23581198e-01   1.52629369e+00   5.86613332e-03   5.34968888e-15   1.25067581e-01   1.78536441e+02  -1.06638058e+01   7.14143156e+01
     7500  9.03868979e+00  1.17454051e-03   1.29115302e-03   2.12710265e-01   2.12710265e-01   1.84935986e-01   3.26754019e-03   1.29533838e-02   1.02113491e+00   1.02113491e+00   1.52825936e+00   9.12570791e-03   6.29028864e-15   1.25077163e-01   1.78536441e+02  -1.06638067e+01   7.14143117e+01
     7600  9.15613789e+00  1.17342139e-03   1.12274636e-03   2.13403268e-01   2.13403268e-01   1.82974786e-01   1.60272088e-03   1.40418354e-02   1.11085197e+00   1.11085197e+00   1.52582439e+00   5.05755674e-03   4.55055935e-15   1.25064471e-01   1.78536441e+02  -1.06638056e+01   7.14143168e+01
     7700  9.27331510e+00  1.17048528e-03   1.22439527e-03   2.12870982e-01   2.12870982e-01   1.83796254e-01   2.32311996e-03   1.35579294e-02   1.19326717e+00   1.19326717e+00   1.51402447e+00   7.37139803e-03   3.79132389e-15   1.25079214e-01   1.78536441e+02  -1.06638062e+01   7.14143109e+01
     7800  9.39023779e+00  1.16798424e-03   1.24626444e-03   2.13214528e-01   2.13214528e-01   1.82115516e-01   2.90310954e-03   1.25656187e-02   1.26678460e+00   1.26678460e+00   1.49625894e+00   7.98453416e-03   3.67197389e-15   1.25081124e-01   1.78536441e+02  -1.06638063e+01   7.14143102e+01
     7900  9.50688597e+00  1.16475781e-03   1.24246008e-03   2.12802991e-01   2.12802991e-01   1.82779280e-01   1.72957088e-03   1.35088003e-02   1.33459738e+00   1.33459738e+00   1.53546152e+00   7.09084876e-03   3.47104022e-15   1.25052337e-01   1.78536441e+02  -1.06638056e+01   7.14143217e+01
     8000  9.62314218e+00  1.16052694e-03   1.26553077e-03   2.12924561e-01   2.12924561e-01   1.81600629e-01   2.68499409e-03   1.14161472e-02   1.39740890e+00   1.39740890e+00   1.58215735e+00   7.89892922e-03   2.93667696e-15   1.25082242e-01   1.78536441e+02  -1.06638062e+01   7.14143097e+01
     8100  9.73903114e+00  1.15741905e-03   1.28406997e-03   2.12573559e-01   2.12573559e-01   1.82006272e-01   2.59540085e-03   1.12789185e-02   1.45468771e+00   1.45468771e+00   1.61948828e+00   8.04753797e-03   3.72096292e-15   1.25082035e-01   1.78536441e+02  -1.06638062e+01   7.14143098e+01
     8200  9.85461148e+00  1.15425946e-03   1.21650273e-03   2.12739246e-01   2.12739246e-01   1.81135549e-01   1.48210754e-03   1.07473272e-02   1.51096256e+00   1.51096256e+00   1.65189439e+00   5.34652859e-03   3.64378335e-15   1.25055274e-01   1.78536441e+02  -1.06638053e+01   7.14143205e+01
     8300  9.96993927e+00  1.15247992e-03   1.35157784e-03   2.12490400e-01   2.12490400e-01   1.81132501e-01   3.25004662e-03   9.57963004e-03   1.56608892e+00   1.56608892e+00   1.67698135e+00   1.05406065e-02   2.72587730e-15   1.25073615e-01   1.78536441e+02  -1.06638062e+01   7.14143132e+01
     8400  1.00851351e+01  1.15113979e-03   1.22825507e-03   2.12710595e-01   2.12710595e-01   1.80581217e-01   1.86985035e-03   9.11880675e-03   1.61875874e+00   1.61875874e+00   1.69457496e+00   5.51443171e-03   2.92513080e-15   1.25073096e-01   1.78536441e+02  -1.06638055e+01   7.14143134e+01
