#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     6300  2.75393466e-01  4.42772199e-05   1.00961913e-03   1.00961913e-04   1.07539141e-15   6.87147269e-03   6.87147269e-04   6.21724894e-15   6.76542156e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6400  2.79815671e-01  4.41690208e-05   1.02261623e-03   1.02261623e-04   1.07007686e-15   6.94011860e-03   6.94011860e-04   4.66293670e-15   6.15826834e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6500  2.84227377e-01  4.40671567e-05   1.03542491e-03   1.03542491e-04   1.10024968e-15   7.00595607e-03   7.00595607e-04   4.66293670e-15   2.08166817e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6600  2.88629214e-01  4.39716032e-05   1.04804750e-03   1.04804750e-04   1.54397813e-15   7.06895882e-03   7.06895882e-04   7.66053887e-15  -1.00613962e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6700  2.93021814e-01  4.38823373e-05   1.06048654e-03   1.06048654e-04   1.77942029e-15   7.12910047e-03   7.12910047e-04   1.19904087e-14   3.72965547e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6800  2.97405805e-01  4.37993380e-05   1.07274482e-03   1.07274482e-04   1.55061370e-15   7.18635453e-03   7.18635453e-04   1.19904087e-14  -8.32667268e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     6900  3.01781810e-01  4.37225856e-05   1.08482531e-03   1.08482531e-04   1.33133645e-15   7.24069430e-03   7.24069430e-04   6.99440506e-15   3.81639165e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7000  3.06150456e-01  4.36520624e-05   1.09673124e-03   1.09673124e-04   1.35496517e-15   7.29209286e-03   7.29209286e-04   6.10622664e-15  -3.64291930e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7100  3.10512362e-01  4.35877521e-05   1.10846603e-03   1.10846603e-04   1.31085473e-15   7.34052300e-03   7.34052300e-04   5.21804822e-15   9.88792381e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7200  3.14868151e-01  4.35296403e-05   1.12003336e-03   1.12003336e-04   1.14604038e-15   7.38595718e-03   7.38595718e-04   4.44089210e-15  -1.43114687e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7300  3.19218442e-01  4.34777139e-05   1.13143712e-03   1.13143712e-04   1.18288858e-15   7.42836748e-03   7.42836748e-04   4.44089210e-15   9.54097912e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7400  3.23563851e-01  4.34319619e-05   1.14268145e-03   1.14268145e-04   1.20104313e-15   7.46772558e-03   7.46772558e-04   4.44089210e-15  -1.56125113e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7500  3.27904997e-01  4.33923748e-05   1.15377072e-03   1.15377072e-04   1.14442762e-15   7.50400268e-03   7.50400268e-04   4.44089210e-15  -5.55111512e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7600  3.32242495e-01  4.33589445e-05   1.16470953e-03   1.16470953e-04   1.11590877e-15   7.53716952e-03   7.53716952e-04   4.44089210e-15   7.28583860e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7700  3.36576961e-01  4.33316649e-05   1.17550273e-03   1.17550273e-04   1.09117963e-15   7.56719627e-03   7.56719627e-04   4.66293670e-15  -6.67868538e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     7800  3.40909009e-01  4.33105316e-05   1.18615541e-03   1.18615541e-04   1.12120654e-15   7.59405255e-03   7.59405255e-04   4.66293670e-15  -2.16840434e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
